Unnamed: 0,title,source,date,emotion,theme,url
291,Article 292 - ICE Operation,Source 226,2025-07-20,fear,Legal Barriers,https://example.com/article_292
292,Article 293 - ICE Operation,Source 254,2022-12-25,shock,Family Separation,https://example.com/article_293
293,Article 294 - ICE Operation,Source 260,2015-12-26,sadness,Community Organizing,https://example.com/article_294
294,Article 295 - ICE Operation,Source 117,2025-08-09,anxious,Detention Conditions,https://example.com/article_295
295,Article 296 - ICE Operation,Source 187,2015-04-12,anger,Legal Barriers,https://example.com/article_296
296,Article 297 - ICE Operation,Source 119,2020-12-11,anger,Detention Conditions,https://example.com/article_297
297,Article 298 - ICE Operation,Source 243,2025-06-08,fear,Deportation Defense,https://example.com/article_298
298,Article 299 - ICE Operation,Source 306,2019-12-18,surprise,Legal Barriers,https://example.com/article_299
299,Article 300 - ICE Operation,Source 26,2016-05-30,shock,Legal Barriers,https://example.com/article_300
300,Article 301 - ICE Operation,Source 177,2024-10-20,shock,Family Separation,https://example.com/article_301
301,Article 302 - ICE Operation,Source 126,2022-12-11,fear,Community Organizing,https://example.com/article_302
302,Article 303 - ICE Operation,Source 148,2022-02-21,anger,Legal Barriers,https://example.com/article_303
303,Article 304 - ICE Operation,Source 212,2018-11-30,anxious,Legal Barriers,https://example.com/article_304
304,Article 305 - ICE Operation,Source 202,2018-07-29,surprise,Deportation Defense,https://example.com/article_305
305,Article 306 - ICE Operation,Source 224,2024-04-30,shock,Deportation Defense,https://example.com/article_306
306,Article 307 - ICE Operation,Source 195,2018-05-14,shock,Community Organizing,https://example.com/article_307
307,Article 308 - ICE Operation,Source 145,2015-05-17,fear,Legal Barriers,https://example.com/article_308
308,Article 309 - ICE Operation,Source 172,2019-03-06,fear,Family Separation,https://example.com/article_309
309,Article 310 - ICE Operation,Source 296,2020-10-12,surprise,Detention Conditions,https://example.com/article_310
310,Article 311 - ICE Operation,Source 127,2022-02-03,disgust,Deportation Defense,https://example.com/article_311
311,Article 312 - ICE Operation,Source 201,2019-12-28,fear,Family Separation,https://example.com/article_312
312,Article 313 - ICE Operation,Source 164,2019-06-11,disgust,Deportation Defense,https://example.com/article_313
313,Article 314 - ICE Operation,Source 33,2024-08-14,sadness,Family Separation,https://example.com/article_314
314,Article 315 - ICE Operation,Source 128,2024-08-14,shock,Legal Barriers,https://example.com/article_315
315,Article 316 - ICE Operation,Source 126,2019-04-17,disgust,Detention Conditions,https://example.com/article_316
316,Article 317 - ICE Operation,Source 230,2024-12-06,sadness,Community Organizing,https://example.com/article_317
317,Article 318 - ICE Operation,Source 71,2021-10-01,shock,Detention Conditions,https://example.com/article_318
318,Article 319 - ICE Operation,Source 295,2021-11-05,sadness,Legal Barriers,https://example.com/article_319
319,Article 320 - ICE Operation,Source 11,2019-08-06,sadness,Family Separation,https://example.com/article_320
320,Article 321 - ICE Operation,Source 48,2016-03-25,sadness,Detention Conditions,https://example.com/article_321
321,Article 322 - ICE Operation,Source 116,2024-09-07,shock,Legal Barriers,https://example.com/article_322
322,Article 323 - ICE Operation,Source 248,2018-02-11,anger,Legal Barriers,https://example.com/article_323
323,Article 324 - ICE Operation,Source 215,2023-08-11,shock,Legal Barriers,https://example.com/article_324
324,Article 325 - ICE Operation,Source 31,2021-10-01,sadness,Detention Conditions,https://example.com/article_325
325,Article 326 - ICE Operation,Source 176,2025-01-01,anger,Deportation Defense,https://example.com/article_326
326,Article 327 - ICE Operation,Source 2,2021-02-25,anger,Family Separation,https://example.com/article_327
327,Article 328 - ICE Operation,Source 202,2020-01-16,surprise,Community Organizing,https://example.com/article_328
328,Article 329 - ICE Operation,Source 100,2023-12-14,surprise,Deportation Defense,https://example.com/article_329
329,Article 330 - ICE Operation,Source 183,2025-08-26,sadness,Community Organizing,https://example.com/article_330
330,Article 331 - ICE Operation,Source 265,2018-03-03,disgust,Deportation Defense,https://example.com/article_331
331,Article 332 - ICE Operation,Source 27,2019-09-22,surprise,Legal Barriers,https://example.com/article_332
332,Article 333 - ICE Operation,Source 38,2019-08-11,surprise,Community Organizing,https://example.com/article_333
333,Article 334 - ICE Operation,Source 128,2016-07-12,shock,Community Organizing,https://example.com/article_334
334,Article 335 - ICE Operation,Source 140,2024-07-20,sadness,Legal Barriers,https://example.com/article_335
335,Article 336 - ICE Operation,Source 194,2025-04-08,shock,Family Separation,https://example.com/article_336
336,Article 337 - ICE Operation,Source 309,2018-02-05,fear,Family Separation,https://example.com/article_337
337,Article 338 - ICE Operation,Source 260,2024-03-25,disgust,Detention Conditions,https://example.com/article_338
338,Article 339 - ICE Operation,Source 106,2020-02-11,shock,Family Separation,https://example.com/article_339
339,Article 340 - ICE Operation,Source 152,2022-03-28,fear,Detention Conditions,https://example.com/article_340
340,Article 341 - ICE Operation,Source 298,2016-02-26,sadness,Legal Barriers,https://example.com/article_341
341,Article 342 - ICE Operation,Source 287,2021-02-15,anxious,Legal Barriers,https://example.com/article_342
342,Article 343 - ICE Operation,Source 176,2015-08-01,fear,Family Separation,https://example.com/article_343
343,Article 344 - ICE Operation,Source 260,2017-04-25,shock,Detention Conditions,https://example.com/article_344
344,Article 345 - ICE Operation,Source 282,2019-02-17,anxious,Family Separation,https://example.com/article_345
345,Article 346 - ICE Operation,Source 213,2019-05-18,disgust,Deportation Defense,https://example.com/article_346
346,Article 347 - ICE Operation,Source 204,2016-03-30,anger,Legal Barriers,https://example.com/article_347
347,Article 348 - ICE Operation,Source 77,2020-06-25,sadness,Deportation Defense,https://example.com/article_348
348,Article 349 - ICE Operation,Source 84,2024-10-09,anger,Deportation Defense,https://example.com/article_349
349,Article 350 - ICE Operation,Source 297,2024-08-01,fear,Detention Conditions,https://example.com/article_350
350,Article 351 - ICE Operation,Source 167,2018-03-22,anger,Family Separation,https://example.com/article_351
351,Article 352 - ICE Operation,Source 230,2024-09-25,sadness,Legal Barriers,https://example.com/article_352
352,Article 353 - ICE Operation,Source 86,2018-01-09,sadness,Legal Barriers,https://example.com/article_353
353,Article 354 - ICE Operation,Source 113,2018-10-23,shock,Community Organizing,https://example.com/article_354
354,Article 355 - ICE Operation,Source 9,2015-02-13,disgust,Detention Conditions,https://example.com/article_355
355,Article 356 - ICE Operation,Source 193,2018-04-08,surprise,Community Organizing,https://example.com/article_356
356,Article 357 - ICE Operation,Source 139,2021-04-08,sadness,Detention Conditions,https://example.com/article_357
357,Article 358 - ICE Operation,Source 19,2024-04-03,disgust,Family Separation,https://example.com/article_358
358,Article 359 - ICE Operation,Source 301,2022-03-22,anger,Community Organizing,https://example.com/article_359
359,Article 360 - ICE Operation,Source 197,2025-06-06,disgust,Legal Barriers,https://example.com/article_360
360,Article 361 - ICE Operation,Source 250,2016-06-19,sadness,Detention Conditions,https://example.com/article_361
361,Article 362 - ICE Operation,Source 73,2018-02-16,anxious,Community Organizing,https://example.com/article_362
362,Article 363 - ICE Operation,Source 302,2015-12-04,shock,Legal Barriers,https://example.com/article_363
363,Article 364 - ICE Operation,Source 101,2019-01-01,sadness,Community Organizing,https://example.com/article_364
364,Article 365 - ICE Operation,Source 12,2015-10-08,anxious,Legal Barriers,https://example.com/article_365
365,Article 366 - ICE Operation,Source 288,2016-11-22,disgust,Community Organizing,https://example.com/article_366
366,Article 367 - ICE Operation,Source 306,2025-07-27,disgust,Deportation Defense,https://example.com/article_367
367,Article 368 - ICE Operation,Source 57,2022-02-02,anxious,Deportation Defense,https://example.com/article_368
368,Article 369 - ICE Operation,Source 203,2022-09-24,surprise,Detention Conditions,https://example.com/article_369
369,Article 370 - ICE Operation,Source 267,2024-09-29,disgust,Deportation Defense,https://example.com/article_370
370,Article 371 - ICE Operation,Source 1,2018-04-06,disgust,Family Separation,https://example.com/article_371
371,Article 372 - ICE Operation,Source 313,2017-08-09,surprise,Legal Barriers,https://example.com/article_372
372,Article 373 - ICE Operation,Source 132,2022-04-09,fear,Detention Conditions,https://example.com/article_373
373,Article 374 - ICE Operation,Source 129,2020-06-18,disgust,Legal Barriers,https://example.com/article_374
374,Article 375 - ICE Operation,Source 179,2016-01-14,shock,Detention Conditions,https://example.com/article_375
375,Article 376 - ICE Operation,Source 27,2021-12-13,disgust,Legal Barriers,https://example.com/article_376
376,Article 377 - ICE Operation,Source 241,2022-10-20,anxious,Legal Barriers,https://example.com/article_377
377,Article 378 - ICE Operation,Source 60,2015-11-04,sadness,Family Separation,https://example.com/article_378
378,Article 379 - ICE Operation,Source 231,2017-01-25,disgust,Legal Barriers,https://example.com/article_379
379,Article 380 - ICE Operation,Source 288,2025-01-18,fear,Deportation Defense,https://example.com/article_380
380,Article 381 - ICE Operation,Source 315,2023-09-05,disgust,Deportation Defense,https://example.com/article_381
381,Article 382 - ICE Operation,Source 96,2015-02-24,anxious,Detention Conditions,https://example.com/article_382
382,Article 383 - ICE Operation,Source 154,2023-12-08,anger,Family Separation,https://example.com/article_383
383,Article 384 - ICE Operation,Source 31,2025-07-31,sadness,Detention Conditions,https://example.com/article_384
384,Article 385 - ICE Operation,Source 36,2022-03-04,shock,Legal Barriers,https://example.com/article_385
385,Article 386 - ICE Operation,Source 117,2016-10-26,surprise,Deportation Defense,https://example.com/article_386
386,Article 387 - ICE Operation,Source 100,2015-10-30,surprise,Deportation Defense,https://example.com/article_387
387,Article 388 - ICE Operation,Source 287,2018-04-21,anxious,Deportation Defense,https://example.com/article_388
388,Article 389 - ICE Operation,Source 55,2016-11-11,anxious,Community Organizing,https://example.com/article_389
389,Article 390 - ICE Operation,Source 168,2020-10-25,anger,Community Organizing,https://example.com/article_390
390,Article 391 - ICE Operation,Source 220,2019-11-02,surprise,Family Separation,https://example.com/article_391
391,Article 392 - ICE Operation,Source 238,2025-01-20,anger,Legal Barriers,https://example.com/article_392
392,Article 393 - ICE Operation,Source 127,2022-01-25,anxious,Deportation Defense,https://example.com/article_393
393,Article 394 - ICE Operation,Source 233,2021-12-23,surprise,Deportation Defense,https://example.com/article_394
394,Article 395 - ICE Operation,Source 95,2020-05-27,sadness,Detention Conditions,https://example.com/article_395
395,Article 396 - ICE Operation,Source 190,2019-07-31,shock,Detention Conditions,https://example.com/article_396
396,Article 397 - ICE Operation,Source 29,2024-12-30,shock,Community Organizing,https://example.com/article_397
397,Article 398 - ICE Operation,Source 117,2015-12-02,sadness,Family Separation,https://example.com/article_398
398,Article 399 - ICE Operation,Source 29,2023-06-20,disgust,Detention Conditions,https://example.com/article_399
399,Article 400 - ICE Operation,Source 148,2022-02-28,anxious,Deportation Defense,https://example.com/article_400
400,Article 401 - ICE Operation,Source 162,2015-06-18,fear,Legal Barriers,https://example.com/article_401
401,Article 402 - ICE Operation,Source 166,2025-08-26,disgust,Community Organizing,https://example.com/article_402
402,Article 403 - ICE Operation,Source 150,2025-04-09,fear,Community Organizing,https://example.com/article_403
403,Article 404 - ICE Operation,Source 192,2020-10-10,fear,Legal Barriers,https://example.com/article_404
404,Article 405 - ICE Operation,Source 184,2020-05-07,surprise,Deportation Defense,https://example.com/article_405
405,Article 406 - ICE Operation,Source 235,2023-05-15,sadness,Community Organizing,https://example.com/article_406
406,Article 407 - ICE Operation,Source 181,2020-06-25,sadness,Family Separation,https://example.com/article_407
407,Article 408 - ICE Operation,Source 100,2018-10-03,surprise,Detention Conditions,https://example.com/article_408
408,Article 409 - ICE Operation,Source 219,2017-02-12,disgust,Family Separation,https://example.com/article_409
409,Article 410 - ICE Operation,Source 312,2017-12-03,disgust,Family Separation,https://example.com/article_410
410,Article 411 - ICE Operation,Source 61,2015-04-25,surprise,Legal Barriers,https://example.com/article_411
411,Article 412 - ICE Operation,Source 309,2016-04-11,anger,Family Separation,https://example.com/article_412
412,Article 413 - ICE Operation,Source 182,2019-05-05,disgust,Deportation Defense,https://example.com/article_413
413,Article 414 - ICE Operation,Source 250,2020-12-13,shock,Community Organizing,https://example.com/article_414
414,Article 415 - ICE Operation,Source 240,2020-07-29,surprise,Deportation Defense,https://example.com/article_415
415,Article 416 - ICE Operation,Source 11,2023-04-25,anxious,Deportation Defense,https://example.com/article_416
416,Article 417 - ICE Operation,Source 72,2019-10-22,shock,Community Organizing,https://example.com/article_417
417,Article 418 - ICE Operation,Source 11,2024-08-15,anxious,Detention Conditions,https://example.com/article_418
418,Article 419 - ICE Operation,Source 31,2021-12-27,anger,Legal Barriers,https://example.com/article_419
419,Article 420 - ICE Operation,Source 4,2018-02-26,sadness,Deportation Defense,https://example.com/article_420
420,Article 421 - ICE Operation,Source 99,2021-06-30,anxious,Deportation Defense,https://example.com/article_421
421,Article 422 - ICE Operation,Source 218,2021-08-08,shock,Detention Conditions,https://example.com/article_422
422,Article 423 - ICE Operation,Source 288,2016-06-23,shock,Legal Barriers,https://example.com/article_423
423,Article 424 - ICE Operation,Source 152,2019-01-18,sadness,Family Separation,https://example.com/article_424
424,Article 425 - ICE Operation,Source 195,2023-11-16,surprise,Legal Barriers,https://example.com/article_425
425,Article 426 - ICE Operation,Source 232,2021-06-19,anxious,Detention Conditions,https://example.com/article_426
426,Article 427 - ICE Operation,Source 320,2024-11-28,anxious,Community Organizing,https://example.com/article_427
427,Article 428 - ICE Operation,Source 35,2015-10-15,surprise,Legal Barriers,https://example.com/article_428
428,Article 429 - ICE Operation,Source 62,2024-10-15,fear,Deportation Defense,https://example.com/article_429
429,Article 430 - ICE Operation,Source 26,2021-09-24,shock,Legal Barriers,https://example.com/article_430
430,Article 431 - ICE Operation,Source 16,2021-02-16,disgust,Deportation Defense,https://example.com/article_431
431,Article 432 - ICE Operation,Source 193,2024-10-01,shock,Community Organizing,https://example.com/article_432
432,Article 433 - ICE Operation,Source 125,2021-06-14,anxious,Detention Conditions,https://example.com/article_433
433,Article 434 - ICE Operation,Source 316,2025-09-07,shock,Community Organizing,https://example.com/article_434
434,Article 435 - ICE Operation,Source 154,2022-03-25,surprise,Legal Barriers,https://example.com/article_435
435,Article 436 - ICE Operation,Source 79,2024-12-09,anger,Family Separation,https://example.com/article_436
436,Article 437 - ICE Operation,Source 231,2017-02-23,anger,Community Organizing,https://example.com/article_437
437,Article 438 - ICE Operation,Source 264,2024-01-28,anger,Family Separation,https://example.com/article_438
438,Article 439 - ICE Operation,Source 122,2015-11-04,disgust,Deportation Defense,https://example.com/article_439
439,Article 440 - ICE Operation,Source 116,2025-10-22,surprise,Deportation Defense,https://example.com/article_440
440,Article 441 - ICE Operation,Source 281,2024-12-22,shock,Family Separation,https://example.com/article_441
441,Article 442 - ICE Operation,Source 81,2021-05-22,surprise,Detention Conditions,https://example.com/article_442
442,Article 443 - ICE Operation,Source 291,2024-03-29,sadness,Community Organizing,https://example.com/article_443
443,Article 444 - ICE Operation,Source 51,2022-05-12,anger,Deportation Defense,https://example.com/article_444
444,Article 445 - ICE Operation,Source 293,2015-01-30,surprise,Family Separation,https://example.com/article_445
445,Article 446 - ICE Operation,Source 237,2023-09-10,anxious,Family Separation,https://example.com/article_446
446,Article 447 - ICE Operation,Source 30,2021-10-06,surprise,Detention Conditions,https://example.com/article_447
447,Article 448 - ICE Operation,Source 58,2020-06-13,surprise,Family Separation,https://example.com/article_448
448,Article 449 - ICE Operation,Source 103,2024-09-26,anger,Community Organizing,https://example.com/article_449
449,Article 450 - ICE Operation,Source 57,2022-11-20,anxious,Community Organizing,https://example.com/article_450
450,Article 451 - ICE Operation,Source 292,2025-06-17,anger,Community Organizing,https://example.com/article_451
451,Article 452 - ICE Operation,Source 57,2018-06-17,disgust,Detention Conditions,https://example.com/article_452
452,Article 453 - ICE Operation,Source 194,2025-12-14,surprise,Community Organizing,https://example.com/article_453
453,Article 454 - ICE Operation,Source 216,2023-07-31,fear,Family Separation,https://example.com/article_454
454,Article 455 - ICE Operation,Source 290,2018-03-25,sadness,Family Separation,https://example.com/article_455
455,Article 456 - ICE Operation,Source 201,2020-08-16,shock,Family Separation,https://example.com/article_456
456,Article 457 - ICE Operation,Source 272,2020-06-14,disgust,Detention Conditions,https://example.com/article_457
457,Article 458 - ICE Operation,Source 97,2018-08-28,anger,Community Organizing,https://example.com/article_458
458,Article 459 - ICE Operation,Source 308,2025-12-06,sadness,Legal Barriers,https://example.com/article_459
459,Article 460 - ICE Operation,Source 42,2022-04-04,disgust,Community Organizing,https://example.com/article_460
460,Article 461 - ICE Operation,Source 174,2018-06-22,disgust,Detention Conditions,https://example.com/article_461
461,Article 462 - ICE Operation,Source 55,2021-06-12,shock,Legal Barriers,https://example.com/article_462
462,Article 463 - ICE Operation,Source 314,2017-09-22,anxious,Community Organizing,https://example.com/article_463
463,Article 464 - ICE Operation,Source 248,2018-02-10,anxious,Community Organizing,https://example.com/article_464
464,Article 465 - ICE Operation,Source 56,2017-11-28,sadness,Community Organizing,https://example.com/article_465
465,Article 466 - ICE Operation,Source 283,2015-12-17,anger,Family Separation,https://example.com/article_466
466,Article 467 - ICE Operation,Source 180,2025-01-28,shock,Deportation Defense,https://example.com/article_467
467,Article 468 - ICE Operation,Source 87,2018-11-22,fear,Community Organizing,https://example.com/article_468
468,Article 469 - ICE Operation,Source 67,2025-12-13,fear,Deportation Defense,https://example.com/article_469
469,Article 470 - ICE Operation,Source 278,2024-07-11,anger,Deportation Defense,https://example.com/article_470
470,Article 471 - ICE Operation,Source 249,2024-01-31,anger,Legal Barriers,https://example.com/article_471
471,Article 472 - ICE Operation,Source 52,2021-08-09,anger,Deportation Defense,https://example.com/article_472
472,Article 473 - ICE Operation,Source 149,2016-09-23,anger,Family Separation,https://example.com/article_473
473,Article 474 - ICE Operation,Source 140,2023-12-17,anger,Detention Conditions,https://example.com/article_474
474,Article 475 - ICE Operation,Source 264,2021-07-27,sadness,Detention Conditions,https://example.com/article_475
475,Article 476 - ICE Operation,Source 252,2016-05-06,anxious,Family Separation,https://example.com/article_476
476,Article 477 - ICE Operation,Source 163,2022-06-21,anger,Legal Barriers,https://example.com/article_477
477,Article 478 - ICE Operation,Source 90,2020-01-29,disgust,Deportation Defense,https://example.com/article_478
478,Article 479 - ICE Operation,Source 116,2024-02-29,anxious,Legal Barriers,https://example.com/article_479
479,Article 480 - ICE Operation,Source 12,2018-03-20,anger,Detention Conditions,https://example.com/article_480
480,Article 481 - ICE Operation,Source 89,2018-04-29,disgust,Detention Conditions,https://example.com/article_481
481,Article 482 - ICE Operation,Source 299,2018-11-29,shock,Deportation Defense,https://example.com/article_482
482,Article 483 - ICE Operation,Source 145,2025-02-08,surprise,Detention Conditions,https://example.com/article_483
483,Article 484 - ICE Operation,Source 17,2019-04-03,shock,Community Organizing,https://example.com/article_484
484,Article 485 - ICE Operation,Source 240,2015-01-18,disgust,Family Separation,https://example.com/article_485
485,Article 486 - ICE Operation,Source 145,2023-02-03,fear,Deportation Defense,https://example.com/article_486
486,Article 487 - ICE Operation,Source 251,2016-10-12,surprise,Legal Barriers,https://example.com/article_487
487,Article 488 - ICE Operation,Source 277,2025-02-27,shock,Family Separation,https://example.com/article_488
488,Article 489 - ICE Operation,Source 152,2020-05-16,disgust,Legal Barriers,https://example.com/article_489
489,Article 490 - ICE Operation,Source 129,2019-03-16,surprise,Detention Conditions,https://example.com/article_490
490,Article 491 - ICE Operation,Source 160,2020-03-29,disgust,Family Separation,https://example.com/article_491
491,Article 492 - ICE Operation,Source 265,2021-05-19,anger,Family Separation,https://example.com/article_492
492,Article 493 - ICE Operation,Source 176,2015-04-19,anxious,Deportation Defense,https://example.com/article_493
493,Article 494 - ICE Operation,Source 286,2015-07-21,anger,Community Organizing,https://example.com/article_494
494,Article 495 - ICE Operation,Source 209,2015-08-02,surprise,Detention Conditions,https://example.com/article_495
495,Article 496 - ICE Operation,Source 170,2025-02-03,fear,Deportation Defense,https://example.com/article_496
496,Article 497 - ICE Operation,Source 164,2025-05-07,fear,Community Organizing,https://example.com/article_497
497,Article 498 - ICE Operation,Source 259,2019-03-15,fear,Community Organizing,https://example.com/article_498
498,Article 499 - ICE Operation,Source 52,2020-05-12,sadness,Family Separation,https://example.com/article_499
499,Article 500 - ICE Operation,Source 202,2025-02-22,anxious,Legal Barriers,https://example.com/article_500
500,Article 501 - ICE Operation,Source 155,2015-08-01,anger,Community Organizing,https://example.com/article_501
501,Article 502 - ICE Operation,Source 300,2018-11-19,anxious,Family Separation,https://example.com/article_502
502,Article 503 - ICE Operation,Source 156,2017-07-30,shock,Community Organizing,https://example.com/article_503
503,Article 504 - ICE Operation,Source 157,2023-04-11,surprise,Family Separation,https://example.com/article_504
504,Article 505 - ICE Operation,Source 249,2024-09-28,anger,Deportation Defense,https://example.com/article_505
505,Article 506 - ICE Operation,Source 310,2016-07-20,surprise,Deportation Defense,https://example.com/article_506
506,Article 507 - ICE Operation,Source 37,2024-12-28,sadness,Legal Barriers,https://example.com/article_507
507,Article 508 - ICE Operation,Source 19,2017-11-18,surprise,Legal Barriers,https://example.com/article_508
508,Article 509 - ICE Operation,Source 127,2015-08-21,shock,Family Separation,https://example.com/article_509
509,Article 510 - ICE Operation,Source 159,2017-06-20,surprise,Community Organizing,https://example.com/article_510
510,Article 511 - ICE Operation,Source 124,2019-02-22,disgust,Legal Barriers,https://example.com/article_511
511,Article 512 - ICE Operation,Source 96,2017-09-10,anger,Community Organizing,https://example.com/article_512
512,Article 513 - ICE Operation,Source 246,2022-10-16,disgust,Community Organizing,https://example.com/article_513
513,Article 514 - ICE Operation,Source 296,2023-06-16,anxious,Legal Barriers,https://example.com/article_514
514,Article 515 - ICE Operation,Source 312,2025-12-16,surprise,Deportation Defense,https://example.com/article_515
515,Article 516 - ICE Operation,Source 105,2025-09-16,anger,Community Organizing,https://example.com/article_516
516,Article 517 - ICE Operation,Source 220,2019-10-12,anger,Detention Conditions,https://example.com/article_517
517,Article 518 - ICE Operation,Source 74,2021-01-19,anger,Detention Conditions,https://example.com/article_518
518,Article 519 - ICE Operation,Source 51,2015-01-17,surprise,Community Organizing,https://example.com/article_519
519,Article 520 - ICE Operation,Source 201,2020-06-30,surprise,Community Organizing,https://example.com/article_520
